country,country_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Japan,JPN,42169.73328,42239.18493,42190.80487,42744.01128,43671.67997,44393.62638,44995.49449,45687.27381,45165.78792,42724.76037,44507.67639,44538.72619,45276.87434,46249.20959,46484.15527,47163.49421,47660.89304,48567.41706,48919.56089
Kazakhstan,KAZ,4491.591823,5106.634167,5606.852997,6107.709259,6647.692129,7227.982949,7917.195342,8523.766205,8698.423654,8573.708294,9070.488253,9603.244655,9923.422208,10368.4993,10646.03446,10617.47466,10582.70087,10867.73874,11165.54436
Kenya,KEN,833.0124524,841.2030184,823.0747894,824.4529698,843.2117975,868.9047117,900.0818061,935.6370088,912.3577048,917.0247151,967.3504549,998.9775712,1016.806597,1048.236724,1075.65946,1107.992893,1143.36433,1169.215274,1202.133023
Kyrgyz Republic,KGZ,654.3123118,682.624142,676.2696342,716.2642508,757.3744283,747.5656166,762.5201161,819.8062973,880.2788201,894.8179586,880.0377751,921.1770391,905.1656688,984.2390335,1003.510404,1021.160792,1043.951112,1070.89326,1087.204062
Cambodia,KHM,431.3046585,454.0764479,475.0537273,506.7027946,550.0999397,613.2790099,669.0363309,726.4605796,763.6913923,752.9779185,785.6928841,827.9784081,874.1614887,923.1138221,972.9792448,1024.872343,1078.205454,1137.224401,1205.29295
Kiribati,KIR,1722.25835,1668.233126,1701.979397,1705.815942,1647.498075,1695.683825,1660.055542,1657.765535,1587.991126,1566.867417,1520.875339,1515.539848,1557.841443,1594.751052,1556.052623,1688.178811,1743.935399,1719.554624,1762.305861
St. Kitts and Nevis,KNA,13596.71711,14154.71758,14301.84997,13615.13543,13971.22523,15123.99324,15375.8009,15191.05048,16000.17594,15292.88582,14904.94842,15007.18642,14742.94937,15379.76426,16138.08889,16317.81472,16533.65393,16568.81965,18011.18764
South Korea,KOR,15104.52152,15667.37846,16734.84566,17136.66157,17905.22579,18568.36281,19427.18984,20385.32004,20803.50054,20843.1348,22086.95292,22724.70557,23123.76136,23685.40671,24323.57284,24870.7709,25484.03759,26152.03077,26761.94138
Kuwait,KWT,35792.70979,35051.80226,35522.72737,41189.46318,44820.20002,47847.82359,49268.26312,49588.76428,47965.00883,41936.81677,38497.61696,39652.17118,39733.28919,37924.47244,36259.66868,35053.59084,35250.91458,33545.61763,33537.85153
Latin America & Caribbean (excluding high income),LAC,7147.970026,7126.706566,7108.942334,7075.077462,7402.684293,7592.73465,7877.673118,8194.644871,8416.683928,8182.924573,8537.477238,8793.44525,8954.875849,9095.652335,9109.315494,8979.126349,8853.199075,8908.084952,9190.79944
Lao PDR,LAO,672.1678299,699.6334799,729.894199,762.7462611,799.0736305,842.5676301,900.2754365,952.316936,1009.460775,1067.575917,1141.127115,1215.881729,1296.745665,1383.70298,1470.499706,1556.670712,1642.730096,1730.404815,1789.135301
Lebanon,LBN,6789.912136,6789.375295,6696.934931,6579.438289,6700.627206,6671.371253,6666.990356,7237.809889,7859.944198,8501.108511,8858.283972,8450.107462,8107.078815,7754.770561,7445.74829,7147.273931,7083.81728,7102.63661,6249.766655
Liberia,LBR,606.6314369,602.0937493,610.1192423,418.8987304,421.7287714,432.4538617,451.3774807,475.1226831,488.2183753,494.062272,506.0630046,531.145602,558.3236962,592.0913136,582.0594195,567.9744648,545.0555303,544.5734758,541.2713241
Libya,LBY,8967.247453,8671.836454,8453.584716,9403.453647,9670.084548,10653.7844,11175.12987,11707.9854,11856.02054,11631.71901,12120.56217,4578.531815,10208.67462,8823.551964,6697.103284,6073.406208,5848.937364,7314.624388,7528.970075
St. Lucia,LCA,7238.220042,6935.526467,6903.271619,7148.490391,7606.188612,7509.241079,7898.36901,7916.62429,8241.922831,8067.690177,8008.197165,8230.081998,8131.371224,7986.09235,8234.954952,8121.829446,8356.989212,8635.813752,8503.45275
Latin America & Caribbean,LCN,7460.643642,7422.587505,7344.747219,7362.179218,7728.782462,7955.045349,8268.73418,8616.159191,8843.404905,8571.977565,8964.833879,9249.019866,9397.529127,9547.935423,9538.567346,9444.997761,9313.119994,9377.560452,9550.784572
Least developed countries: UN classification,LDC,534.0358771,548.1425596,562.6649546,577.9899567,602.5601493,636.6131091,669.9223875,709.2228733,742.3846804,758.3848537,786.8696875,798.9809397,826.7756143,852.938982,878.4370815,894.0644908,905.693452,927.8242289,953.2544516
Low income,LIC,522.6291444,531.6697887,529.4217673,530.3556944,543.9740056,560.2106383,572.0222573,588.9877333,601.1255259,615.7411456,643.0245885,652.7760512,676.2914139,696.1990405,717.8801551,723.23321,727.6036235,745.2871653,732.2782282
Liechtenstein,LIE,,,,,,,,,,,141165.0829,,,,,,,,
Sri Lanka,LKA,1824.721072,1784.067178,1840.56739,1934.071002,2022.830359,2132.357319,2278.87929,2416.493266,2542.942424,2615.982695,2808.434392,3026.992151,3286.007594,3371.183337,3505.550452,3648.08929,3768.516812,3849.455356,3936.450246
Lower middle income,LMC,1107.824016,1137.203349,1171.214459,1223.567629,1288.069293,1351.609755,1423.502798,1500.645902,1546.704362,1597.612001,1680.636775,1738.326032,1801.274152,1874.236824,1951.243638,2030.153418,2112.584031,2198.423063,2259.336602
Low & middle income,LMY,2263.595652,2312.762002,2387.625749,2480.548406,2634.818149,2779.912807,2959.285459,3166.495934,3300.686186,3337.910759,3535.214827,3698.715706,3842.153411,3988.051906,4115.573508,4219.852517,4345.201122,4503.005784,4704.657536
Lesotho,LSO,871.3917236,894.1700843,892.8982487,925.9292428,933.98815,958.5220521,990.875793,1030.05257,1089.773967,1102.62196,1157.341092,1223.058786,1280.438113,1287.150864,1309.74958,1328.123138,1352.202252,1303.823441,1401.611115
Late-demographic dividend,LTE,3463.728102,3601.259862,3775.420863,3988.616687,4274.57057,4551.58919,4918.441149,5358.332176,5672.474797,5786.29177,6191.182895,6576.456446,6887.001549,7200.093461,7484.587722,7722.999542,7961.461889,8293.34261,8641.83782
Lithuania,LTU,6933.587869,7447.077453,8014.636909,8931.519535,9624.013733,10537.91037,11500.52915,12928.25994,13405.18824,11546.82225,11984.86857,12999.42674,13679.149,14301.72976,14935.53502,15381.34873,15944.62541,16838.5432,17669.65898
Luxembourg,LUX,93462.92485,94695.33924,97287.59728,97678.46054,99778.46879,101380.7746,104943.4403,111968.3495,108577.3523,101939.6134,104965.3061,105264.7484,102404.6119,103721.747,105658.5197,107235.27,107479.5111,106519.5824,107243.2375
Latvia,LVA,6934.722926,7478.763105,8103.587637,8872.103199,9717.109046,10873.41429,12278.30704,13614.25637,13270.00041,11547.99077,11326.21947,12270.34062,12924.72616,13381.33173,13758.95531,14284.28833,14713.01808,15532.22503,16405.73322
"Macao SAR, China",MAC,22524.4156,22640.60365,24071.98583,26220.01375,32438.29345,34245.91527,37959.09078,42537.642,43081.21825,42739.19434,52374.79445,62279.32215,66448.83092,72183.30331,69748.93809,53580.32299,52143.86551,55936.62782,58054.08264
St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,
Morocco,MAR,1972.300287,2091.234516,2130.733918,2230.904753,2310.338449,2358.443579,2507.674658,2566.216701,2686.228297,2765.856154,2834.20472,2942.038817,2987.31592,3077.315005,3113.799415,3209.311804,3201.408462,3288.499794,3357.359102
Monaco,MCO,138982.3113,140802.7725,141075.3848,141293.2207,143128.0098,143773.6527,149399.2618,167533.014,165266.4495,143830.4589,144569.1758,153131.8974,153469.6304,167325.3255,178581.4768,186551.4179,191586.6396,,
Moldova,MDA,968.2881767,1029.653765,1112.540193,1189.312174,1280.485916,1379.875617,1450.134315,1497.103826,1616.95279,1521.855571,1631.535832,1743.488077,1731.510798,1894.780109,1986.94062,1980.267412,2070.634372,2165.494367,2684.143102
Madagascar,MDG,430.1089963,442.1358235,374.4890908,398.9019786,407.5174621,413.8674949,422.1411671,435.7172452,453.6365642,423.3057408,412.7309341,407.3272819,408.3421256,406.3749932,408.6610331,410.1941592,416.0027173,421.8912457,432.6578354
Maldives,MDV,5777.216367,5420.948222,5670.469219,6282.231846,6485.024179,5484.950255,6736.813258,7068.651765,7537.636828,6806.405052,7100.405899,7490.445206,7458.860047,7776.543931,8124.707759,8156.168648,8559.350852,8971.128496,8049.933835
Middle East & North Africa,MEA,5762.786354,5723.218243,5707.944854,5907.878117,6261.692728,6448.42432,6694.853454,6891.909913,7046.851011,6932.003199,7127.0925,7237.621282,7366.026502,7414.489752,7484.670266,7529.952162,7752.261984,7741.215574,7845.805914
Mexico,MEX,8997.433617,8843.90116,8731.220021,8749.778035,8977.657821,9059.810486,9327.7362,9392.687112,9347.524279,8712.140597,9016.457927,9207.729317,9405.813166,9400.32212,9532.803837,9715.677724,9867.93081,9942.866356,10385.29785
Marshall Islands,MHL,2617.365432,2756.475861,2829.937008,2837.036178,2842.690116,2926.635269,2967.371233,3072.293763,3017.071072,2961.927086,3146.763948,3177.638584,3279.9636,3365.465417,3333.361046,3315.192935,3373.945538,3491.394178,3254.830736
Middle income,MIC,2443.143204,2499.193103,2584.676727,2690.19492,2862.777339,3025.568511,3227.283822,3460.153522,3613.075225,3658.266129,3880.722066,4067.602585,4231.202559,4398.304516,4545.171244,4668.131167,4815.437668,4998.599419,5197.101574
North Macedonia,MKD,3448.812931,3329.89967,3369.598581,3436.946226,3591.271558,3755.02658,3942.425622,4192.937308,4418.267781,4398.774199,4542.904104,4645.514719,4620.649183,4751.888741,4920.202944,5105.451342,5246.088486,5253.773775,5394.288478
Mali,MLI,553.5780114,620.2847837,620.55831,656.4918881,645.9229792,666.257623,674.7401265,675.4092087,684.4944184,693.5460684,708.3707632,709.3993798,683.0015974,678.7562806,705.7884727,726.248067,745.8707245,762.9498316,777.8605975
Malta,MLT,18306.66506,18280.21353,18685.65569,19035.36115,18991.7828,19585.12427,19870.7522,20590.95219,21142.02081,20466.5636,21087.79469,21276.41025,21657.96957,22340.75372,23676.03236,25342.02229,26064.17138,26988.79373,28385.06497
Myanmar,MMR,346.7746454,381.7030096,422.9583997,476.6124381,536.2101036,603.8320887,677.7036471,753.9518937,826.0946985,907.3623858,987.7365832,1034.77236,1101.206165,1183.279235,1266.120248,1342.263064,1408.014182,1489.505798,1571.907217
Middle East & North Africa (excluding high income),MNA,3210.902702,3224.328122,3274.170072,3307.79862,3511.585672,3607.30601,3738.503104,3896.114376,3960.929905,3988.697751,4122.744869,4009.848567,4046.952045,4039.503312,4050.622144,4019.326806,4245.477041,4302.442348,
Montenegro,MNE,4951.7814,4986.148151,5060.564026,5166.415109,5384.187248,5602.029938,6076.247053,6480.475462,6934.751257,6518.536503,6682.281158,6888.874157,6697.236632,6924.87796,7042.689488,7278.056015,7487.386668,7838.412134,8226.598844
Mongolia,MNG,1600.479484,1632.524675,1693.081138,1792.873168,1961.491893,2079.11237,2229.154535,2425.68184,2604.928915,2533.175737,2650.353648,3053.612268,3365.571975,3685.747845,3901.866604,3923.628469,3903.229626,4045.687976,4197.755982
Northern Mariana Islands,MNP,,,21177.69637,21687.13219,21573.63096,19408.27827,18673.13235,18056.31724,16639.58126,14155.53999,14681.02308,13712.46164,13803.63606,14052.62037,14468.96404,14865.38679,18989.26183,23711.45845,
Mozambique,MOZ,256.5393799,281.0676915,296.9834865,307.0340736,321.3028806,339.1322444,361.7450378,377.3832721,391.7101475,404.5950204,419.2258149,436.1431817,454.1068241,472.5906373,493.2533015,510.793591,514.9631899,519.0939485,539.1833403
Mauritania,MRT,996.757198,987.1335104,965.1659373,993.848819,1021.367274,1081.730437,1249.937547,1249.462403,1227.791759,1180.779404,1201.756291,1221.690236,1254.50317,1291.806172,1324.36525,1304.882608,1294.254828,1303.440033,1349.374452
Mauritius,MUS,5560.234238,5658.449273,5738.05555,5905.000777,6205.252738,6245.196496,6746.878552,7100.85933,7456.381179,7683.129304,8000.376432,8313.264119,8580.078391,8848.873841,9163.640465,9476.671387,9833.62123,10199.91192,10578.61732
Malawi,MWI,384.6778691,355.5487223,352.0263457,362.3697692,371.7851468,373.2298928,379.4363388,403.4921837,421.2236257,442.554638,458.8654301,466.9605494,461.8845794,471.8376444,484.3657281,483.6259186,481.4490573,486.4424158,516.7540552
Malaysia,MYS,7009.655362,6893.333247,7114.871167,7377.364628,7725.904121,7983.952569,8273.725282,8635.566379,8890.793065,8599.435524,9071.356987,9377.187567,9708.936994,9981.15458,10398.2269,10751.54289,11038.86933,11528.29686,12109.48855
North America,NAC,44923.36444,44948.91597,45382.50935,46206.9726,47479.80255,48608.10518,49432.09429,49847.66816,49289.29888,47481.75506,48373.41574,48829.10711,49515.43595,50086.23459,50941.02535,51924.54896,52325.50989,53155.20601,54224.12277
Namibia,NAM,3790.911417,3767.450054,3890.415562,4005.574918,4446.249537,4507.184087,4770.727952,4968.664032,5036.254699,4978.679998,5191.583081,5351.369745,5502.258873,5679.278655,5901.242884,6119.571193,6024.340635,5839.87541,6073.194376
New Caledonia,NCL,,,,,,,,,,,,,,,,,,,
Niger,NER,322.1689768,332.7752563,330.5677491,335.6881179,323.989163,326.3510451,332.7305889,330.6528023,349.0254303,333.7101115,348.1560591,342.7686416,368.9645491,373.75899,386.748713,388.3372703,392.1710303,395.9555195,398.5200428
Nigeria,NGA,1382.895248,1428.406105,1606.355943,1681.183538,1790.293186,1856.929844,1918.70405,1992.048611,2071.201605,2178.898759,2291.360013,2349.297783,2383.977407,2475.948056,2563.092124,2562.522216,2455.918559,2412.202835,2396.310914
Nicaragua,NIC,1305.160122,1324.320526,1315.991253,1331.363823,1383.91437,1424.499933,1464.350519,1518.653199,1550.501295,1480.376529,1526.497938,1603.33429,1687.358681,1750.057433,1812.994743,1878.200769,1944.000979,2016.31995,1860.431709
Netherlands,NLD,46133.17635,46758.87675,46509.51714,46422.02485,47200.42469,48107.58549,49720.39486,51447.25959,52118.09256,49897.22517,50950.03434,51499.59579,50780.70297,50565.30207,51100.83982,51871.5765,52727.10247,53920.03335,55041.12039
Norway,NOR,81709.66294,82992.53186,83732.93894,84008.9617,86820.34131,88494.36433,89887.01952,91617.27915,90917.54176,88259.96772,87770.26684,87481.14835,88689.49096,88538.69765,89274.95614,90132.34952,90402.60219,91451.35052,92121.42113
Nepal,NPL,459.11634,472.7723768,465.5452863,476.4581877,491.6975138,502.2394279,513.1274616,525.0822526,551.6441032,570.9307893,592.1835216,605.6336526,627.1821221,645.2510105,675.7352885,690.075033,686.3179449,732.4333613,812.2363603
Nauru,NRU,,,,,,,,2968.851676,4012.775215,4361.146321,4912.599558,5469.155684,5890.770969,7510.288253,9360.629045,9143.668727,9650.568453,10186.56988,9962.388924
New Zealand,NZL,28972.97624,29896.57091,30868.58816,31639.47936,32191.95726,32887.05461,33324.50326,34256.7377,33442.25803,33743.99323,33692.01083,34337.46265,35003.27667,35436.32332,36142.52008,37038.85488,37528.45833,37776.00974,38000.7196
OECD members,OED,32982.73954,33199.24638,33483.59491,33902.96243,34735.6839,35427.13743,36206.87931,36841.53409,36624.26948,35074.55717,35888.60321,36354.3597,36589.74935,36894.26918,37404.42173,38075.79302,38509.38144,39189.5048,39936.59655
Oman,OMN,18698.39975,19308.42061,18772.80037,17881.31476,17671.57505,17631.93969,18063.25193,18302.31933,19112.19706,19408.63402,19281.00081,17913.93164,18300.41451,17830.30899,17167.05043,16958.22582,16897.69308,15977.17775,15663.9053
Other small states,OSS,8079.656673,8276.156359,8496.755421,8693.826231,9332.709281,9682.594081,10507.49278,11257.21058,11782.25712,11691.65636,12360.35162,12993.94614,13161.59652,13258.19213,13348.93717,13427.84469,13464.45726,13471.14253,13717.71156
Pakistan,PAK,848.6317831,846.6423731,855.4985498,878.4415197,923.923304,974.5372983,1013.765372,1041.289383,1037.575137,1045.207929,1040.142268,1046.493545,1060.50137,1083.967007,1111.195962,1140.206271,1179.414012,1222.523906,1196.594136
Panama,PAN,5493.597612,5419.036104,5435.026289,5557.86784,5865.59872,6172.395087,6584.980555,7241.958489,7814.380341,7772.005022,8080.838225,8838.451561,9535.18883,10019.4386,10350.39955,10763.81699,11116.71579,11524.09564,11723.93056
Peru,PER,3310.779993,3287.285776,3422.238349,3520.275322,3649.372048,3831.364851,4069.777098,4362.948992,4703.079928,4695.675167,5022.493191,5270.948747,5520.559167,5765.887138,5825.198494,5937.285352,6094.738249,6172.741606,6453.922634
Philippines,PHL,1607.201616,1618.969757,1643.204441,1689.98021,1768.106838,1818.315432,1880.192448,1971.28171,2020.15041,2010.799316,2129.499247,2171.492182,2278.635911,2399.60719,2505.818865,2615.659102,2752.109121,2891.35889,3021.986863
Palau,PLW,9194.420123,9689.487911,9985.955762,9601.039621,10013.39907,10409.71168,10126.84749,10167.86532,9570.055778,8952.112378,8933.219345,9355.458883,9617.757242,9342.493433,9707.839667,10622.76503,10571.92909,10088.42038,12853.73601
Papua New Guinea,PNG,1724.231684,1678.777708,1634.319989,1628.462848,1631.837736,1693.275105,1690.481674,1833.415923,1785.125123,1862.632054,2004.818112,1982.093325,2029.15191,2061.907251,2329.890872,2402.536249,2390.931594,2402.421313,2400.21576
Poland,POL,8525.139502,8633.915227,8814.267306,9134.436069,9609.169635,9949.252839,10570.7739,11320.55287,11800.03438,12124.6072,12597.86239,13222.815,13435.45764,13630.68974,14093.56159,14644.36193,15099.3493,15823.0108,16639.72798
Pre-demographic dividend,PRE,1001.348084,1020.688793,1052.093363,1018.660496,1117.230514,1159.23558,1207.583306,1250.593027,1298.78663,1325.72208,1369.146224,1392.474594,1438.706718,1480.016125,1506.901362,1510.762245,1508.892022,1490.939987,1490.459033
Puerto Rico,PRI,24161.16874,25631.62935,25833.2027,25830.83019,28084.93857,27566.64223,27293.44852,27134.51943,26790.83808,26411.42332,26435.74879,26647.38627,26979.67102,27206.88275,27325.6608,27519.29543,27685.5876,27689.26052,27340.65417
"Korea, Dem. People’s Rep.",PRK,,,,,,,,,,,,,,,,,,,
Portugal,PRT,21513.45973,21777.40814,21824.97562,21540.06971,21877.90694,22004.79943,22306.28405,22817.3218,22829.848,22128.84552,22538.65408,22159.47542,21353.23026,21228.08948,21533.49011,22016.83679,22511.72625,23197.44678,23737.65833
Paraguay,PRY,3584.15553,3485.943091,3420.671645,3505.258424,3586.224731,3604.748222,3721.965848,3868.931553,4059.871025,3996.056321,4382.690449,4508.005018,4423.678866,4731.863814,4896.112832,4981.149165,5129.391665,5328.53035,5394.461414
West Bank and Gaza,PSE,2160.182674,1909.630902,1628.972185,1810.429693,1947.284037,2103.133531,1970.108677,2046.971265,2109.716726,2227.125843,2338.719877,2551.415741,2631.443492,2610.699884,2529.996256,2541.319738,2585.311731,2590.67517,2680.318123
Pacific island small states,PSS,2718.504483,2720.323679,2743.837059,2771.381122,2848.503928,2880.158649,2915.340393,2914.544108,2932.212708,2854.072279,2898.043659,2978.383056,2992.710198,3036.438441,3116.392083,3178.059571,3207.875439,3273.484293,3411.06416
Post-demographic dividend,PST,35741.40919,36106.26034,36482.49691,37005.33588,37952.53067,38750.78917,39636.59405,40383.23302,40200.65357,38563.46698,39500.1343,40007.27453,40287.82113,40646.46222,41221.68746,41911.48558,42423.03864,43193.91042,43971.20298
French Polynesia,PYF,,,,,,,,,,,,,,,,,,,
Qatar,QAT,60858.19122,60707.11988,62167.55765,60460.4202,65405.71777,61688.81193,66623.13611,66761.62274,67262.45171,65769.00718,70306.22784,72670.95866,70396.81612,68899.48531,67901.21881,67346.43281,66419.34793,65694.35667,63222.10607
Romania,ROU,4897.419233,5243.950498,5617.712289,5970.961682,6507.020648,6820.476748,7413.693433,8040.45381,8850.851733,8397.40172,8209.919456,8415.999687,8629.143409,8965.645417,9306.242304,9712.144868,10236.86031,11046.40741,11534.85862
Russian Federation,RUS,6491.007133,6850.523222,7208.577134,7769.677136,8360.819356,8927.9136,9687.50213,10532.33564,11089.93982,10219.5304,10674.9972,11230.39914,11621.39602,11803.71946,11680.60393,11325.79776,11279.63537,11452.29133,11729.09437
Rwanda,RWA,327.0382047,341.8498497,377.5726883,379.4804143,401.357939,430.5360371,459.2879446,481.9614925,521.3919048,539.2046248,563.4013453,591.7092865,627.6197799,640.7925287,672.6173577,714.3702646,738.8057087,764.8908009,826.3385196
South Asia,SAS,802.1665266,821.7898651,837.285637,882.6969567,933.4493227,989.082434,1048.852767,1108.534036,1127.419046,1190.334146,1263.828366,1310.281507,1363.557235,1427.241811,1507.045267,1599.02146,1700.623822,1796.159418,1890.34994
Saudi Arabia,SAU,18263.23008,17585.39045,16619.43466,17954.94979,18822.73004,19309.31207,19304.55023,19136.15923,19792.72038,18861.11,19259.58726,20575.49795,21056.34715,21005.01212,21183.46489,21507.95569,21380.45272,20770.93861,20775.20181
Sudan,SDN,1003.00205,1038.581433,1074.639297,1125.764399,1137.563077,1189.960988,1275.262027,1385.410027,1455.318374,1464.2546,1476.478087,1592.9644,1797.106075,1832.313777,1837.138362,1881.895263,1923.995323,1959.153522,1855.626292
Senegal,SEN,1104.347427,1126.395716,1105.160761,1148.733087,1184.541063,1218.303281,1215.294707,1241.285729,1256.668214,1247.49782,1255.402738,1236.873867,1261.971186,1259.28291,1303.266262,1346.363976,1389.888174,1448.07383,1546.520159
Singapore,SGP,33390.05848,32191.94009,33242.98633,35233.13448,38117.41053,40020.26016,42223.89136,44191.23809,42650.10208,41133.29981,46569.67951,48505.26439,49262.33358,50948.44618,52244.44041,52785.30643,53353.83946,55235.51289,58247.87264
Solomon Islands,SLB,1252.894154,1122.346153,1062.325446,1102.236838,1127.078323,1158.945578,1209.750685,1267.968363,1326.869635,1235.7178,1290.572374,1428.860999,1461.671265,1473.764794,1475.528063,1482.190598,1502.887051,1521.294307,1477.005999
Sierra Leone,SLE,303.6068833,273.8509094,330.9657797,344.9272878,351.4532072,353.0916884,356.0312804,374.0577672,384.6614598,387.8109952,399.1543676,414.5428763,466.5811728,550.5455624,562.8596746,437.1687798,453.6639216,462.6952284,474.1134401
El Salvador,SLV,2686.425343,2692.403107,2719.155401,2747.191138,2758.157242,2819.589678,2928.674638,2969.926378,3019.78719,2943.876855,2992.545274,3092.601934,3164.968873,3224.835391,3272.74025,3333.946216,3402.60087,3463.543581,3511.364377
San Marino,SMR,70449.03496,73438.65024,72748.72642,74582.24862,76998.21176,77823.1926,79802.98378,84457.85947,84793.64831,73024.11106,68758.36862,61488.76786,56116.95368,53759.8385,52698.49118,52527.32022,53290.03659,53770.35692,
Somalia,SOM,,,,,,,,,,,,,,,,,,,
Serbia,SRB,3405.779599,3581.974228,3840.397102,4018.506339,4392.277526,4649.576267,4896.824441,5206.253145,5509.058791,5358.843742,5411.877404,5531.218348,5501.696553,5670.71173,5593.061202,5663.392381,5852.384299,5993.4855,6880.533595
Sub-Saharan Africa (excluding high income),SSA,1200.308174,1218.758212,1262.539073,1281.485479,1329.376511,1374.712747,1420.615815,1474.09206,1511.419769,1515.082644,1556.509329,1583.345213,1610.448012,1645.037581,1675.781684,1678.633615,1653.980479,1651.023329,1655.784319
South Sudan,SSD,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,SSF,1201.34951,1219.743168,1263.501556,1282.357384,1330.191414,1375.585139,1421.550863,1475.106501,1512.374302,1515.998014,1557.453562,1584.350477,1611.435778,1646.059644,1676.822657,1679.700986,1655.073951,1652.15101,1656.926845
Small states,SST,7562.19007,7726.537396,7936.97722,8167.357189,8692.5335,9006.28039,9723.600125,10326.52955,10734.21239,10595.73466,11119.49132,11616.01418,11767.40238,11859.96393,11946.54053,12030.2311,12031.01701,12046.85179,12245.61236
Sao Tome and Principe,STP,,862.9033677,863.4940542,898.6528027,911.0056019,952.6797736,1015.395392,1024.17906,1082.714882,1083.664271,1129.754961,1152.89978,1162.537397,1191.436775,1241.459368,1260.627507,1284.688391,1305.621914,1297.358572
Suriname,SUR,5709.096334,5882.259509,5980.56491,6288.498775,6749.791493,6978.380537,7304.640802,7595.796593,7827.385705,7978.828001,8303.31332,8698.484774,8841.229685,9008.945439,8943.148763,8555.644438,8005.180867,8067.501916,8048.614313
Slovak Republic,SVK,10296.71418,10657.68847,11143.76389,11755.3478,12376.06203,13210.26925,14326.25988,15868.80441,16747.81473,15818.56395,16600.61359,17046.60794,17299.62933,17538.64883,18003.54034,18737.35002,19298.07348,19882.48449,20669.90426
Slovenia,SVN,18570.69607,19088.32622,19796.06709,20346.41582,21218.25215,22029.43035,23201.25791,24673.44469,25447.4259,23252.097,23437.47202,23540.71462,22864.20508,22574.7091,23224.40106,23731.16728,24460.3979,25666.88574,26758.90229
Sweden,SWE,44693.7366,45270.78107,46059.36679,46983.07726,48820.60609,49996.17522,52046.48151,53421.02024,52711.19827,49554.34343,52132.91853,53126.97133,52577.98589,52779.95467,53618.57551,55418.98428,56195.88138,56610.68499,57232.08549
Eswatini,SWZ,2953.232303,2952.508373,3059.013874,3158.826098,3250.399217,3411.67334,3568.857276,3668.480734,3633.315589,3622.112,3690.239228,3704.140658,3807.732772,3977.976427,3980.774448,3923.88968,3977.697578,3980.609618,4820.024141
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,9790.270772,9559.551957,9384.152481,8932.195054,8709.782689,9450.279434,10126.29048,11124.65711,10645.0867,10486.18989,10804.68447,11967.36235,11999.95385,12489.31485,12850.49315,13187.612,13598.33627,14142.80771,14385.30181
Syrian Arab Republic,SYR,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,TCA,,,,,,,,,,,,,,,,,,,
Chad,TCD,462.5285998,497.3468034,519.2766504,573.3343744,737.9875274,835.1955417,812.0086003,811.0162819,808.8890039,815.9680472,896.5697341,867.9990632,914.1186511,934.702546,967.1027773,962.6559226,874.7670721,823.4348917,813.3424788
East Asia & Pacific (IDA & IBRD countries),TEA,1841.606471,1946.835968,2081.236074,2243.783194,2424.482696,2638.839441,2900.723729,3229.583714,3476.568481,3717.35787,4051.867383,4363.319,4657.051882,4955.856469,5252.492999,5553.508164,5862.180698,6202.731753,6538.396476
Europe & Central Asia (IDA & IBRD countries),TEC,5272.254447,5406.361208,5680.602643,6039.914789,6503.920541,6927.348039,7460.431412,8011.20373,8336.292997,7893.41208,8238.80164,8708.883561,8953.24433,9226.274883,9391.723667,9434.181242,9547.204554,9894.776756,10160.53999
Togo,TGO,525.8273289,502.9642041,485.069421,495.8884092,493.2945774,486.060925,492.3709054,490.2461321,496.5488869,510.0840338,526.8410724,545.751164,566.1872924,585.1441412,603.843798,622.3463263,637.7842983,649.5100156,672.4947925
Thailand,THA,3458.053931,3544.208344,3731.027107,3969.415566,4190.032276,4337.263357,4525.159282,4744.333227,4800.810537,4743.690472,5075.302176,5093.5805,5437.227931,5558.841094,5591.10558,5739.762652,5910.454567,6126.244256,6361.62499
Tajikistan,TJK,415.4736252,447.2980365,486.5053612,529.0724104,572.1118905,597.5437545,626.2861157,660.5605718,697.4709707,708.8077039,738.3475227,775.3039176,814.6751556,855.4092586,892.587436,925.6394475,968.1593044,1020.140362,1073.021835
Turkmenistan,TKM,2381.17573,2458.50768,2440.277346,2495.288357,2593.515254,2899.960191,3181.073794,3489.330062,3949.048234,4129.543531,4439.203,5006.296232,5462.980549,5909.771043,6399.270662,6693.93561,6986.855944,7317.549506,7647.935804
Latin America & the Caribbean (IDA & IBRD countries),TLA,7383.62943,7332.209667,7250.628065,7267.250798,7624.280388,7851.89835,8166.104753,8518.156068,8751.814198,8478.177815,8880.204872,9170.158618,9320.171616,9472.645484,9464.133175,9364.490748,9231.047361,9298.21439,9477.436574
Timor-Leste,TLS,1345.211105,1434.899581,1291.019349,1226.579666,1940.053811,2559.72681,3550.090049,3676.53842,3995.046815,3705.328804,3603.940551,3952.325206,4057.967188,3527.339325,2547.346591,3009.31286,2967.99113,2672.265298,2759.526494
